Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
archaeology,2024all,de-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.5,0.11764705882352941,0.11764705882352941,0.19047619047619047,2,2,15,4,1734565387,00:00:01
archaeology,2024all,de-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.5,0.11764705882352941,0.11764705882352941,0.19047619047619047,2,2,15,4,-,-
archaeology,2024all,fr-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,4,1,1172338352,00:00:01
archaeology,2024all,fr-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,1,4,1,-,-
archaeology,2024all,de-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.3333333333333333,0.058823529411764705,0.058823529411764705,0.1,1,2,16,3,2322700709,00:00:02
archaeology,2024all,de-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.3333333333333333,0.058823529411764705,0.058823529411764705,0.1,1,2,16,3,-,-
archaeology,2024all,de-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.4,0.11764705882352941,0.11764705882352941,0.1818181818181818,2,3,15,5,2000686720,00:00:02
archaeology,2024all,de-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.4,0.11764705882352941,0.11764705882352941,0.1818181818181818,2,3,15,5,-,-
archaeology,2024all,it-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.1,0.25,0.25,0.14285714285714288,1,9,3,10,1186831568,00:00:01
archaeology,2024all,it-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,it-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.1,0.25,0.25,0.14285714285714288,1,9,3,10,-,-
archaeology,2024all,en-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.6,0.5,0.5,0.5454545454545454,3,2,3,5,1224742794,00:00:01
archaeology,2024all,en-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,en-en,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.6,0.5,0.5,0.5454545454545454,3,2,3,5,-,-
archaeology,2024all,fr-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.125,0.25,0.25,0.16666666666666666,1,7,3,8,1216242175,00:00:01
archaeology,2024all,fr-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,fr-fr,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.125,0.25,0.25,0.16666666666666666,1,7,3,8,-,-
archaeology,2024all,de-de,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.9090909090909091,0.5882352941176471,0.5882352941176471,0.7142857142857143,10,1,7,11,6208729373,00:00:06
archaeology,2024all,de-de,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-de,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
archaeology,2024all,de-de,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.9090909090909091,0.5882352941176471,0.5882352941176471,0.7142857142857143,10,1,7,11,-,-
archaeology,2024all,en-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,1,0,5,1,1233410996,00:00:01
archaeology,2024all,en-it,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
