Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
dhmultiling,2024all,idai-pactols_de-fr,matcha_new.tar.gz,ALL,0.3333333333333333,0.11764705882352941,0.11764705882352941,0.1739130434782609,2,4,15,6,130815581008,00:02:10
dhmultiling,2024all,idai-pactols_de-fr,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_de-fr,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_de-fr,matcha_new.tar.gz,INSTANCES,0.3333333333333333,0.11764705882352941,0.11764705882352941,0.1739130434782609,2,4,15,6,-,-
dhmultiling,2024all,idai-pactols_en-it,matcha_new.tar.gz,ALL,0.5,0.16666666666666666,0.16666666666666666,0.25,1,1,5,2,67174239485,00:01:07
dhmultiling,2024all,idai-pactols_en-it,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_en-it,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_en-it,matcha_new.tar.gz,INSTANCES,0.5,0.16666666666666666,0.16666666666666666,0.25,1,1,5,2,-,-
dhmultiling,2024all,idai-pactols_it-it,matcha_new.tar.gz,ALL,0.3,0.75,0.75,0.4285714285714285,3,7,1,10,9999716392,00:00:09
dhmultiling,2024all,idai-pactols_it-it,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_it-it,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_it-it,matcha_new.tar.gz,INSTANCES,0.3,0.75,0.75,0.4285714285714285,3,7,1,10,-,-
dhmultiling,2024all,idai-pactols_en-en,matcha_new.tar.gz,ALL,0.75,0.5,0.5,0.6,3,1,3,4,10767563379,00:00:10
dhmultiling,2024all,idai-pactols_en-en,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_en-en,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_en-en,matcha_new.tar.gz,INSTANCES,0.75,0.5,0.5,0.6,3,1,3,4,-,-
dhmultiling,2024all,idai-pactols_fr-it,matcha_new.tar.gz,ALL,0.0,0.0,0.0,0.0,0,1,4,1,59440833699,00:00:59
dhmultiling,2024all,idai-pactols_fr-it,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_fr-it,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dhmultiling,2024all,idai-pactols_fr-it,matcha_new.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,1,4,1,-,-
dhmultiling,2024all,idai-pactols_de-en,matcha_new.tar.gz,ALL,0.16666666666666666,0.058823529411764705,0.058823529411764705,0.08695652173913045,1,5,16,6,132453911144,00:02:12
dhmultiling,2024all,idai-pactols_de-en,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
